7.297,1934.207,277.555,0.045
7.347,1948.061,276.612,0.115
7.397,1961.868,275.673,0.229
7.447,1975.628,274.738,0.286
7.497,1989.342,273.807,0.229
7.547,2003.009,272.881,0.172
7.597,2016.63,271.96,0.115
7.647,2030.205,271.044,0.115
7.697,2043.734,270.133,0.011
7.747,2057.218,269.226,0.115
7.797,2070.657,268.324,0.229
7.847,2084.051,267.427,0.344
7.897,2097.4,266.533,0.229
7.947,2110.704,265.644,0.229
7.997,2123.964,264.758,0.056
8.047,2137.18,263.875,0.028
8.097,2150.352,262.995,0.057
8.147,2163.48,262.119,0.172
8.197,2176.564,261.246,0.172
8.247,2189.604,260.376,0.286
8.297,2202.601,259.51,0.229
8.347,2215.555,258.648,0.172
8.397,2228.466,257.79,0.008
8.447,2241.334,256.936,0.053
8.497,2254.16,256.086,0.172
8.547,2266.943,255.239,0.115
8.597,2279.684,254.396,0.172
8.647,2292.383,253.557,0.172
8.697,2305.04,252.72,0.172
8.747,2317.655,251.887,0.115
8.797,2330.228,251.056,0.026
8.847,2342.76,250.228,0.057
8.897,2355.251,249.403,0.172
8.947,2367.701,248.58,0.229
8.997,2380.109,247.76,0.172
9.047,2392.477,246.943,0.229
9.097,2404.804,246.13,0.172
9.147,2417.09,245.319,0.115
9.197,2429.336,244.512,0.022
9.247,2441.541,243.708,0.057
9.297,2453.706,242.908,0.229
9.347,2465.832,242.11,0.286
9.397,2477.917,241.316,0.344
9.447,2489.963,240.524,0.172
9.497,2501.97,239.734,0.115
9.547,2513.937,238.947,0.033
9.597,2525.865,238.162,0.115
9.647,2537.753,237.379,0.172
9.697,2549.603,236.598,0.229
9.747,2561.413,235.82,0.229
9.797,2573.185,235.044,0.172
9.847,2584.918,234.271,0.229
9.897,2596.612,233.5,0.115
9.947,2608.268,232.733,0.057
9.997,2619.885,231.968,0.029
10.047,2631.464,231.205,0.041
10.097,2643.006,230.446,0.115
10.147,2654.509,229.689,0.172
10.197,2665.975,228.934,0.286
10.247,2677.403,228.182,0.229
10.297,2688.793,227.433,0.229
10.347,2700.146,226.685,0.115
10.397,2711.461,225.939,0.01
10.447,2722.74,225.195,0.031
10.497,2733.981,224.453,0.048
10.547,2745.185,223.713,0.026
10.597,2756.352,222.975,0.115
10.647,2767.483,222.24,0.115
10.697,2778.576,221.506,0.057
10.747,2789.633,220.775,0.115
10.797,2800.654,220.045,0.229
10.847,2811.638,219.317,0.172
10.897,2822.585,218.591,0.172
10.947,2833.497,217.868,0.115
10.997,2844.372,217.147,0.051
11.047,2855.212,216.428,0.03
11.097,2866.015,215.711,0.115
11.147,2876.783,214.997,0.172
11.197,2887.515,214.284,0.286
11.247,2898.211,213.574,0.286
11.297,2908.872,212.866,0.229
11.347,2919.498,212.159,0.286
11.397,2930.088,211.454,0.172
11.447,2940.643,210.751,0.115
11.497,2951.163,210.05,0.045
11.547,2961.648,209.35,0.012
11.597,2972.098,208.651,0.057
11.647,2982.513,207.954,0.172
11.697,2992.894,207.259,0.172
11.747,3003.239,206.565,0.229
11.797,3013.55,205.873,0.115
11.847,3023.827,205.183,0.172
11.897,3034.069,204.494,0.172
11.947,3044.276,203.807,0.229
11.997,3054.449,203.121,0.172
12.047,3064.588,202.438,0.115
12.097,3074.693,201.756,0.115
12.147,3084.764,201.076,0.054
12.197,3094.801,200.398,0.027
12.247,3104.804,199.721,0.115
12.297,3114.773,199.047,0.172
12.347,3124.708,198.374,0.229
12.397,3134.61,197.703,0.286
12.447,3144.479,197.034,0.344
12.497,3154.314,196.366,0.344
12.547,3164.115,195.7,0.401
12.597,3173.884,195.035,0.286
12.647,3183.619,194.371,0.172
12.697,3193.321,193.709,0.037
12.747,3202.99,193.047,0.172
12.797,3212.625,192.386,0.286
12.847,3222.228,191.726,0.401
12.897,3231.798,191.068,0.344
12.947,3241.335,190.411,0.344
12.997,3250.839,189.755,0.344
13.047,3260.311,189.101,0.344
13.097,3269.749,188.448,0.286
13.147,3279.155,187.797,0.229
13.197,3288.529,187.147,0.286
13.247,3297.87,186.499,0.172
13.297,3307.179,185.853,0.01
13.347,3316.456,185.209,0.115
13.397,3325.7,184.566,0.229
13.447,3334.912,183.924,0.286
13.497,3344.092,183.285,0.344
13.547,3353.241,182.646,0.344
13.597,3362.357,182.009,0.286
13.647,3371.441,181.372,0.229
13.697,3380.494,180.737,0.286
13.747,3389.515,180.104,0.344
13.797,3398.505,179.471,0.286
13.847,3407.462,178.84,0.229
13.897,3416.389,178.21,0.172
13.947,3425.283,177.581,0.115
13.997,3434.147,176.953,0.035
14.047,3442.979,176.325,0.051
14.097,3451.779,175.7,0.033
14.147,3460.549,175.075,0.115
14.197,3469.287,174.45,0.229
14.247,3477.994,173.827,0.344
14.297,3486.669,173.204,0.516
14.347,3495.314,172.582,0.516
14.397,3503.928,171.961,0.516
14.447,3512.51,171.342,0.401
14.497,3521.062,170.724,0.344
14.547,3529.583,170.107,0.229
14.597,3538.073,169.492,0.115
14.647,3546.532,168.878,0.057
14.697,3554.96,168.265,0.017
14.747,3563.358,167.654,0.229
14.797,3571.726,167.044,0.401
14.847,3580.063,166.435,0.573
14.897,3588.369,165.828,0.63
14.947,3596.646,165.222,0.573
14.997,3604.892,164.617,0.573
15.047,3613.107,164.013,0.516
15.097,3621.293,163.409,0.401
15.147,3629.448,162.807,0.286
15.197,3637.574,162.205,0.229
15.247,3645.669,161.604,0.057
15.297,3653.734,161.003,0.045
15.347,3661.769,160.404,0.115
15.397,3669.774,159.805,0.286
15.447,3677.75,159.206,0.401
15.497,3685.695,158.608,0.573
15.547,3693.61,158.01,0.63
15.597,3701.496,157.413,0.688
15.647,3709.352,156.818,0.63
15.697,3717.178,156.223,0.573
15.747,3724.974,155.629,0.458
15.797,3732.741,155.037,0.344
15.847,3740.478,154.446,0.229
15.897,3748.185,153.857,0.115
