6.191,367.424,34.808,0.229,0.455
6.241,369.152,34.296,0.172,0.455
6.291,370.854,33.784,0.286,0.455
6.341,372.53,33.272,0.344,0.455
6.391,374.181,32.761,0.401,0.455
6.441,375.806,32.251,0.172,0.455
6.491,377.406,31.742,0.172,0.455
6.541,378.98,31.233,0.229,0.455
6.591,380.529,30.725,0.229,0.455
6.641,382.053,30.217,0.286,0.455
6.691,383.551,29.71,0.344,0.455
6.741,385.024,29.204,0.229,0.455
6.791,386.472,28.698,0.007,0.455
6.841,387.894,28.193,0.344,0.455
6.891,389.291,27.689,0.401,0.455
6.941,390.663,27.185,0.344,0.455
6.991,392.009,26.682,0.458,0.455
7.041,393.331,26.179,0.974,0.455
7.091,394.627,25.678,1.261,0.454
7.141,395.899,25.176,1.203,0.454
7.191,397.145,24.676,1.432,0.454
7.241,398.366,24.176,1.604,0.454
7.291,399.563,23.676,1.604,0.454
7.341,400.734,23.177,1.719,0.454
7.391,401.88,22.678,1.662,0.454
7.441,403.002,22.179,1.432,0.454
7.491,404.098,21.681,1.203,0.454
7.541,405.17,21.183,1.261,0.454
7.591,406.217,20.686,1.089,0.454
7.641,407.238,20.189,1.089,0.454
7.691,408.235,19.692,1.089,0.454
7.741,409.208,19.196,1.318,0.454
7.791,410.155,18.7,1.146,0.454
7.841,411.078,18.204,1.146,0.454
7.891,411.976,17.709,1.432,0.454
7.941,412.849,17.214,1.776,0.454
7.991,413.697,16.72,1.833,0.454
8.041,414.521,16.226,1.776,0.454
8.091,415.32,15.732,2.005,0.454
8.141,416.094,15.238,1.776,0.454
8.191,416.843,14.745,1.547,0.454
8.241,417.568,14.252,1.49,0.454
8.291,418.269,13.759,1.547,0.454
8.341,418.944,13.266,2.12,0.454
8.391,419.595,12.774,2.521,0.454
8.441,420.222,12.282,3.495,0.454
8.491,420.823,11.791,3.953,0.454
8.541,421.401,11.3,4.412,0.454
8.591,421.953,10.809,4.756,0.456
8.641,422.482,10.319,5.042,0.458
8.691,422.985,9.828,4.641,0.461
8.741,423.464,9.338,4.526,0.464
8.791,423.919,8.848,5.443,0.467
8.841,424.349,8.358,6.131,0.47
8.891,424.755,7.868,7.047,0.473
8.941,425.136,7.379,7.678,0.477
8.991,425.493,6.889,8.652,0.48
9.041,425.825,6.4,9.626,0.484
9.091,426.133,5.912,11.918,0.487
9.141,426.416,5.424,13.694,0.491
9.191,426.675,4.936,15.126,0.496
9.241,426.91,4.448,17.017,0.501
9.291,427.12,3.96,18.85,0.507
9.341,427.306,3.473,22.804,0.51
9.391,427.467,2.986,26.012,0.516
9.441,427.604,2.5,30.309,0.52
9.491,427.717,2.014,35.065,0.525
9.541,427.806,1.528,40.451,0.528
9.591,427.87,1.043,46.811,0.528
9.641,427.91,0.555,53.056,0.528
9.691,427.926,0.067,59.187,0.526
9.741,427.917,-0.421,64.973,0.524
9.791,427.883,-0.908,70.588,0.523
9.796,427.879,-0.958,NaN,NaN
10.296,426.176,-5.851,NaN,NaN
10.796,422.032,-10.725,NaN,NaN
11.296,415.462,-15.557,NaN,NaN
11.796,406.491,-20.324,NaN,NaN
12.296,395.16,-25.003,NaN,NaN
12.796,381.516,-29.572,NaN,NaN
13.296,365.62,-34.011,NaN,NaN
13.796,347.541,-38.305,NaN,NaN
14.296,327.356,-42.437,NaN,NaN
14.796,305.148,-46.395,NaN,NaN
15.296,281.008,-50.167,NaN,NaN
15.796,255.029,-53.748,NaN,NaN
16.296,227.309,-57.131,NaN,NaN
16.796,197.947,-60.314,NaN,NaN
17.296,167.045,-63.296,NaN,NaN
17.796,134.701,-66.078,NaN,NaN
18.296,101.016,-68.664,NaN,NaN
18.796,66.085,-71.058,NaN,NaN
19.296,30.004,-73.266,NaN,NaN
19.701,0,-74.909,NaN,NaN
